yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
20092,919.32,25.594,7.51,0.267107849,0.0018,0.0561,0.075,0.0429,0.01074209,-0.022097491,0.000525,0.014028555,-0.080521631,0.082354666,0.017404707,NaN,0.02989406,0.156876078,0.149977986,5.442,13.51
20093,"1,057.08",23.901,12.54,0.232310024,0.0012,0.0513,0.0631,0.0403,0.018876717,-1.43E-05,0.00045,0.001279597,0.043084663,0.110847998,0.007861407,NaN,0.029575041,0.152440604,0.146459489,5.345,14.76
20094,"1,115.10",22.405,50.97,0.216364517,0.0005,0.0526,0.0637,0.0458,0.020492999,0.010594468,0.0003,-9.26E-05,-0.055250988,-0.021658154,0.006832721,NaN,0.029636424,0.06065713,0.055016372,5.658,15.18
20101,"1,169.43",21.904,60.93,0.38187817,0.0015,0.0527,0.0627,0.0458,0.018925433,0.013932077,0.000125,0.007788876,0.011196423,0.018038891,0.004998357,NaN,0.029705788,0.054207926,0.049050359,5.459,17.48
20102,"1,030.71",22.037,67.1,0.424176542,0.0012,0.0488,0.0623,0.0376,0.013064903,0.018775881,0.000375,0.001534708,0.12333273,0.083982097,0.015493433,NaN,0.030536385,-0.115437653,-0.119944991,5.575,19.68
20103,"1,141.20",22.353,71.86,0.384305783,0.0015,0.0453,0.0566,0.0341,0.009887918,0.003337509,0.0003,0.002174661,0.056375419,0.049770133,0.008390571,NaN,0.031190503,0.114170937,0.107801115,5.661,19.52
20104,"1,257.64",22.729,77.35,0.358100317,0.0014,0.0502,0.061,0.0414,0.01027639,0.012611849,0.000375,0.003387673,-0.082095956,-0.029411197,0.003650159,NaN,0.031600953,0.108320206,0.101909187,6.034,20.67
20111,"1,325.83",23.431,81.31,0.354269939,0.001,0.0513,0.0603,0.0429,0.002041586,0.012476022,0.00035,0.019563918,-0.009116367,-0.011579102,0.004276028,NaN,0.031351139,0.057276414,0.052332009,6.161,21.44
20112,"1,320.64",24.341,83.87,0.351570039,0.0004,0.0499,0.0575,0.0404,0.008923307,0.011733553,0.00025,0.010090975,0.037202145,0.028159731,0.003865481,NaN,0.031958618,0.000955517,-0.003965622,6.485,22.24
20113,"1,131.42",25.181,86.98,0.399922847,0.0001,0.0409,0.0527,0.0265,0.011343951,0.013049301,0.0001,0.005170077,0.21173309,0.134100224,0.027968816,NaN,0.033224017,-0.13817932,-0.142775646,6.501,22.63
20114,"1,257.60",26.425,86.95,0.357232541,0.0001,0.0393,0.0525,0.0248,0.014300992,-0.006497331,0.000025,-0.005363856,0.020562702,0.023306786,0.01784455,NaN,0.033794351,0.116415884,0.109789855,7.278,20.64
20121,"1,408.47",27.353,88.54,0.346181967,0.0008,0.0399,0.0523,0.029,0.007251174,-0.01377505,0.000025,0.016484101,-0.049017922,-0.005853301,0.002427104,NaN,0.034355505,0.126345775,0.120528998,7.089,23.03
20122,"1,362.16",28.32,87.92,0.355103885,0.0009,0.0364,0.0502,0.0225,0.005539881,-0.019043064,0.0002,0.000374904,0.092763384,0.067149766,0.006560864,NaN,0.03480192,-0.02671266,-0.032091147,7.452,21.62
20123,"1,440.67",29.59,86.5,0.340382954,0.0011,0.0349,0.0484,0.0226,0.003379499,-0.017424901,0.000225,0.008406035,0.002873152,0.038084071,0.003324603,NaN,0.034348455,0.063494006,0.057626108,7.771,21.21
20124,"1,426.19",31.247,86.51,0.349032443,0.0007,0.0365,0.0463,0.0241,-0.00991462,-0.011549118,0.000275,-0.007804431,-0.007482353,0.004940975,0.003863889,NaN,0.034400442,-0.004205252,-0.011313424,8.935,20.65
20131,"1,569.19",32.112,87.7,0.346129997,0.0009,0.0393,0.0485,0.0284,0.002052183,-0.00891064,0.000175,0.013815271,-0.028240973,-0.024050966,0.002634064,NaN,0.034520424,0.106121999,0.100332432,7.954,24.22
20132,"1,606.28",33.266,90.95,0.338444358,0.0005,0.0427,0.0519,0.0329,-0.004993025,0.000118709,0.000225,0.003140399,-0.055194508,-0.056907469,0.004945977,NaN,0.034286847,0.029006147,0.023438982,8.606,24.87
